[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ route_check ] --START--
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.005721s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.005782s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010044s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010085s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_template ] --START--
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.006141s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.006183s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 128 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 141 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 368 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 369 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 370 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 373 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: value 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 375 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | NOTIC: [8] Undefined variable: pager 1ca3099d593ceb2fb3f303aef3e10ea7.php 第 384 行.
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.075493s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.075521s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_filter ] --START--
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000865s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.005400s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.007861s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000857s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.015111s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_end ] --START--
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.017897s ]
[ 2018-04-17T08:59:50+08:00 ] /index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.017949s ]
[ 2018-04-17T09:00:02+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:00:02+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.001261s ]
[ 2018-04-17T09:00:02+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001422s ]
[ 2018-04-17T09:00:02+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:00:02+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000997s ]
[ 2018-04-17T09:00:02+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001101s ]
[ 2018-04-17T09:00:04+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --START--
[ 2018-04-17T09:00:04+08:00 ] /index.php/Admin/Admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.000537s ]
[ 2018-04-17T09:00:04+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000581s ]
[ 2018-04-17T09:00:04+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --START--
[ 2018-04-17T09:00:04+08:00 ] /index.php/Admin/Admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000352s ]
[ 2018-04-17T09:00:04+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000397s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | SQL: SELECT * FROM `admin`  [ RunTime:0.000233s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --START--
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001270s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.001302s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --START--
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.019831s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019867s ]
[ 2018-04-17T09:00:05+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --START--
