[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ route_check ] --START--
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Admin/createCode | INFO: Run CheckRoute Behavior [ RunTime:0.143154s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ route_check ] --END-- [ RunTime:0.143205s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Admin/createCode | INFO: Run ReadHtmlCache Behavior [ RunTime:0.234993s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ app_begin ] --END-- [ RunTime:0.235032s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --START--
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Run CheckRoute Behavior [ RunTime:0.142988s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.143033s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.235011s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.235056s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --START--
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.148502s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.148560s ]
[ 2018-04-18T08:09:17+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_parse ] --START--
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | NOTIC: [8] Undefined index: username 9be1047bb7a563f25d2f04755fc1a79b.php 第 16 行.
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | NOTIC: [8] Undefined variable: qx 9be1047bb7a563f25d2f04755fc1a79b.php 第 17 行.
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.785044s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.785071s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_filter ] --START--
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Run ContentReplace Behavior [ RunTime:0.150888s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Run TokenBuild Behavior [ RunTime:0.103754s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Run WriteHtmlCache Behavior [ RunTime:0.060833s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowRuntime Behavior [ RunTime:0.089435s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_filter ] --END-- [ RunTime:0.405049s ]
[ 2018-04-18T08:09:18+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --START--
[ 2018-04-18T08:09:19+08:00 ] /index.php/Admin/Index/top | INFO: Run ShowPageTrace Behavior [ RunTime:0.588708s ]
[ 2018-04-18T08:09:19+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_end ] --END-- [ RunTime:0.588745s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.010429s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.010571s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009803s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009847s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.005500s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.005538s ]
[ 2018-04-18T09:20:35+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.031018s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.031054s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000708s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.009209s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001414s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000710s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.012132s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.009964s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.010024s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Run CheckRoute Behavior [ RunTime:0.000503s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ route_check ] --END-- [ RunTime:0.000553s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000422s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000456s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Run LocationTemplate Behavior [ RunTime:0.000509s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_template ] --END-- [ RunTime:0.000543s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_parse ] --START--
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | NOTIC: [8] Undefined index: username 9be1047bb7a563f25d2f04755fc1a79b.php 第 16 行.
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | NOTIC: [8] Undefined variable: qx 9be1047bb7a563f25d2f04755fc1a79b.php 第 17 行.
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Run ParseTemplate Behavior [ RunTime:0.029960s ]
[ 2018-04-18T09:20:36+08:00 ] /index.php/Admin/Index/top | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029985s ]
