[ 2018-04-15T09:16:22+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ route_check ] --START--
[ 2018-04-15T09:16:22+08:00 ] /index.php/Admin/Category/test2 | INFO: Run CheckRoute Behavior [ RunTime:0.000927s ]
[ 2018-04-15T09:16:22+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001025s ]
[ 2018-04-15T09:16:22+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ app_begin ] --START--
[ 2018-04-15T09:16:22+08:00 ] /index.php/Admin/Category/test2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000691s ]
[ 2018-04-15T09:16:22+08:00 ] /index.php/Admin/Category/test2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000735s ]
[ 2018-04-15T09:16:24+08:00 ] /index.php/Admin/Category/test2 | SQL: SHOW COLUMNS FROM `tp_bitcharray` [ RunTime:0.007000s ]
[ 2018-04-15T09:16:24+08:00 ] /index.php/Admin/Category/test2 | SQL: INSERT INTO `tp_bitcharray` (`name`,`content`,`cid`) VALUES ('sao1','zhensao',1) [ RunTime:0.105621s ]
[ 2018-04-15T09:16:24+08:00 ] /index.php/Admin/Category/test2 | SQL: INSERT INTO `tp_bitcharray` (`id`,`name`,`content`,`cid`) VALUES (40,'sao2','zhensao',1) [ RunTime:0.135867s ]
[ 2018-04-15T09:16:24+08:00 ] /index.php/Admin/Category/test2 | SQL: INSERT INTO `tp_bitcharray` (`name`,`content`,`cid`) VALUES ('sao3','zhensao',1) [ RunTime:0.108264s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.010891s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.010944s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010174s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010238s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.004039s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.004086s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --START--
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.056219s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.056262s ]
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --START--
[ 2018-04-15T18:44:20+08:00 ] /index.php/Admin/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000830s ]
