[ 2018-04-19T08:59:07+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --START--
[ 2018-04-19T08:59:07+08:00 ] /index.php/Admin/Admin/login | INFO: Run CheckRoute Behavior [ RunTime:0.009897s ]
[ 2018-04-19T08:59:07+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.022437s ]
[ 2018-04-19T08:59:07+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --START--
[ 2018-04-19T08:59:07+08:00 ] /index.php/Admin/Admin/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.007780s ]
[ 2018-04-19T08:59:07+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.007822s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | SQL: SELECT * FROM `admin`  [ RunTime:0.075743s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --START--
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run LocationTemplate Behavior [ RunTime:0.013916s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.014002s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --START--
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run ParseTemplate Behavior [ RunTime:0.136038s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.136087s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --START--
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run ContentReplace Behavior [ RunTime:0.025427s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run TokenBuild Behavior [ RunTime:0.009742s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000955s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000903s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.037143s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --START--
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.019821s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.019858s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ route_check ] --START--
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/createCode | INFO: Run CheckRoute Behavior [ RunTime:0.001014s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ route_check ] --END-- [ RunTime:0.001075s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ app_begin ] --START--
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/createCode | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000986s ]
[ 2018-04-19T08:59:09+08:00 ] /index.php/Admin/Admin/createCode | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001059s ]
[ 2018-04-19T08:59:18+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ route_check ] --START--
[ 2018-04-19T08:59:18+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.000825s ]
[ 2018-04-19T08:59:18+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.000869s ]
[ 2018-04-19T08:59:18+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2018-04-19T08:59:18+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000627s ]
[ 2018-04-19T08:59:18+08:00 ] /index.php/Admin/Admin/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000656s ]
[ 2018-04-19T08:59:19+08:00 ] /index.php/Admin/Admin/checkLogin | SQL: SELECT COUNT(*) AS tp_count FROM `admin` WHERE username='shinkan' and password='shinkan' LIMIT 1   [ RunTime:0.000155s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --START--
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000957s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001001s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --START--
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000643s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000672s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --START--
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001129s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001170s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --START--
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018627s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018663s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --START--
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run ContentReplace Behavior [ RunTime:0.000505s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run TokenBuild Behavior [ RunTime:0.000538s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000444s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000711s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002272s ]
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Tag[ view_end ] --START--
[ 2018-04-19T08:59:22+08:00 ] /index.php/Admin/Index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001216s ]
